cache-references,cycles,LLC-loads
188020864.0,4794782500.0,6906533.0
184254408.0,4808494267.0,6761486.0
185548595.0,4781209424.0,6855942.0
182863695.0,4751814480.0,6322184.0
187628333.0,4751326505.0,6823628.0
184509937.0,4757065093.0,6622234.0
186540363.0,4784750723.0,6779395.0
184086560.0,4769289066.0,6711053.0
187058452.0,4759404244.0,6825377.0
187165822.0,4797139725.0,6767770.0
173711687.0,4754967312.0,6180724.0
184164002.0,4802286444.0,6789163.0
182451984.0,4770732128.0,6530777.0
184873676.0,4772213392.0,6695300.0
185209444.0,4787749466.0,6737509.0
178741515.0,4775774154.0,6510443.0
175839786.0,4763523890.0,6056195.0
174014144.0,4731520411.0,6155762.0
189812122.0,4820651219.0,7020709.0
181366357.0,4793230542.0,6541835.0
180153767.0,4755808985.0,6342710.0
178916953.0,4749317107.0,6249867.0
178873582.0,4771964249.0,6410049.0
185850795.0,4815764336.0,6841982.0
179330980.0,4749550921.0,6436496.0
175276045.0,4758200069.0,6191838.0
177736951.0,4738643628.0,6371151.0
186385898.0,4779023312.0,6644780.0
185274747.0,4762300988.0,6757363.0
185163308.0,4792969880.0,6729257.0
177624637.0,4789728216.0,6359606.0
184186329.0,4757036425.0,6847870.0
186006962.0,4795079710.0,6639405.0
188570617.0,4805702969.0,6924505.0
184761272.0,4784696780.0,6645663.0
183127266.0,4811809527.0,6739328.0
184712802.0,4804631398.0,6638391.0
174489655.0,4723339417.0,6227366.0
190070537.0,4787100669.0,6977957.0
185615807.0,4782287854.0,6695006.0
186950047.0,4783231034.0,6942079.0
187987934.0,4783590410.0,6767263.0
186064272.0,4781471945.0,6789796.0
174790050.0,4749747931.0,6058728.0
182367954.0,4775626992.0,6520474.0
186822591.0,4748587446.0,6771484.0
185373549.0,4782276240.0,6705335.0
186084719.0,4793136576.0,6834216.0
184958214.0,4794676412.0,6841569.0
184947296.0,4826682928.0,6735570.0
174997767.0,4753270757.0,6172791.0
175346972.0,4781031281.0,6313184.0
184540079.0,4784209069.0,6647808.0
185282160.0,4753393763.0,6800848.0
176494524.0,4799578666.0,6355863.0
176592926.0,4798026236.0,6289454.0
167861679.0,4746589512.0,6242987.0
181789976.0,4778409133.0,6538989.0
183588389.0,4757475751.0,6747991.0
187458581.0,4760011563.0,6765281.0
181559004.0,4789680720.0,6629735.0
175144163.0,4734473275.0,6138657.0
184905464.0,4787986086.0,6658920.0
174107940.0,4723417627.0,6176942.0
177770810.0,4752196940.0,6291520.0
183089451.0,4774840902.0,6762027.0
184748309.0,4801895627.0,6679597.0
186861019.0,4778258050.0,6861442.0
183221120.0,4767133000.0,6662415.0
186263610.0,4795490124.0,6798050.0
182663027.0,4799457602.0,6642103.0
173437305.0,4721161809.0,6292298.0
174430190.0,4708697192.0,6185034.0
187888376.0,4804185275.0,6864785.0
186429587.0,4793304365.0,6752736.0
172920175.0,4766100620.0,6199358.0
174677583.0,4780107137.0,6224158.0
179742183.0,4766897603.0,6471093.0
175765311.0,4724713987.0,6234898.0
189354174.0,4808878255.0,7013189.0
187445800.0,4791088903.0,6818561.0
187655859.0,4802571228.0,6852243.0
187281068.0,4797708099.0,6850079.0
173929626.0,4756851637.0,6155480.0
174898571.0,4856751800.0,6397917.0
176002379.0,4740587429.0,6316582.0
182055560.0,4772340638.0,6500250.0
185141744.0,4785723930.0,6629285.0
187670486.0,4791042173.0,6700663.0
185417460.0,4786706181.0,6587444.0
189926041.0,4752870806.0,6648146.0
172800147.0,4757981246.0,6248216.0
185654524.0,4789069870.0,6693729.0
186496555.0,4764022945.0,6860349.0
185402545.0,4796568500.0,6683093.0
189037210.0,4779492125.0,6935137.0
184579844.0,4780392524.0,6786254.0
187673439.0,4841701237.0,6859371.0
188754117.0,4777303232.0,6911498.0
182047473.0,4766797185.0,6444476.0
177712711.0,4743725862.0,6336798.0
185331071.0,4777084610.0,6822258.0
181996049.0,4761347414.0,6675675.0
173462751.0,4732965217.0,6099518.0
187585093.0,4832108683.0,6818671.0
187530816.0,4832871410.0,6932311.0
182429007.0,4768501339.0,6529960.0
175884500.0,4751844544.0,6340986.0
187718830.0,4807417649.0,6811017.0
173125866.0,4719697956.0,6164315.0
182215577.0,4762927126.0,6545736.0
184367533.0,4766705546.0,6633731.0
183911329.0,4777622193.0,6779067.0
183715956.0,4780013347.0,6554880.0
184103699.0,4790333786.0,6661814.0
183718821.0,4785491879.0,6726533.0
184721888.0,4755328873.0,6788401.0
179643151.0,4746007122.0,6429521.0
183494880.0,4782639776.0,6712060.0
176010419.0,4739473884.0,6262085.0
186612050.0,4780758334.0,6843057.0
176150361.0,4747668667.0,6159081.0
181731257.0,4752867475.0,6829030.0
178955715.0,4749751176.0,6626281.0
173807712.0,4733694327.0,6182764.0
183006020.0,4768716605.0,6576107.0
175044331.0,4736936252.0,6212351.0
172521557.0,4760049726.0,6121949.0
184593408.0,4764481751.0,6722798.0
185180217.0,4764441984.0,6760016.0
176753241.0,4744270283.0,6344529.0
183128649.0,4756247837.0,6527817.0
180212958.0,4765786467.0,6494858.0
182612489.0,4763962745.0,6553285.0
173988218.0,4763834548.0,6256927.0
184559564.0,4786077694.0,6747722.0
186946943.0,4778882645.0,6969616.0
182994036.0,4760079291.0,6450899.0
187697929.0,4773346835.0,6876753.0
172531106.0,4765422984.0,6222697.0
173419986.0,4734813723.0,6250495.0
183232808.0,4776800486.0,6603742.0
187879014.0,4800547877.0,6908584.0
173459953.0,4758323192.0,6084014.0
184926650.0,4791815061.0,6705786.0
185982153.0,4758779691.0,6893402.0
182647949.0,4813309612.0,6573834.0
174191896.0,4744902520.0,6106591.0
173008015.0,4767401844.0,5956299.0
185645611.0,4806507393.0,6563656.0
177168246.0,4797171400.0,6370171.0
187676248.0,4811373913.0,6788819.0
188265114.0,4813908245.0,6834203.0
190198810.0,4793996898.0,6942725.0
178820073.0,4796920429.0,6466661.0
